Time(s),CPU(%),GPU(%),Mem(GB),tps,DRd(kB/s),Dwt(kB/s),Read(GB/s),Write(GB/s)
0s,0.1,0,10,0.00,0.00,0.00,0.00,0.00
4s,0.1,0,10,0.00,1956.00,0.00,0.00,0.00
9s,0.1,0,10,0.00,0.00,412.00,0.00,0.00
13s,0.1,0,10,2.00,0.00,0.00,0.00,0.00
18s,1.0,0,10,16.00,652.00,0.00,0.00,0.00
22s,0.1,0,13,2558.00,28816.00,0.00,0.03,0.00
28s,10.1,0,26,5513.00,2033244.00,0.00,1.94,0.00
33s,28.7,0,35,7990.00,2011556.00,0.00,1.92,0.00
38s,30.7,19,38,1025.00,848192.00,0.00,0.81,0.00
43s,7.4,7,33,3866.00,2021096.00,0.00,1.93,0.00
47s,41.1,94,40,6379.00,2031392.00,0.00,1.94,0.00
54s,41.4,97,40,7939.00,1208504.00,0.00,1.15,0.00
61s,40.1,0,41,7926.00,1508812.00,0.00,1.44,0.00
66s,45.2,91,41,7897.00,1474584.00,52.00,1.41,0.00
72s,42.6,76,42,4124.00,13056.00,0.00,0.01,0.00
79s,8.4,7,35,8092.00,1272056.00,0.00,1.21,0.00
84s,42.6,0,40,7536.00,2030112.00,0.00,1.94,0.00
89s,37.6,97,41,4899.00,1472832.00,0.00,1.40,0.00
96s,41.5,97,40,5980.00,1398964.00,24.00,1.33,0.00
103s,39.0,97,40,18749.00,1444860,0.00,1.37792587280273,0.00000131409251480363
110s,49.0,95,42,388.00,445708.00,0.00,0.43,0.00
116s,26.8,0,38,13064.00,1504712,0.00,1.43500518798828,0.00000136852759169415
121s,47.0,32,42,11785.00,1869124,0.00,1.78253555297852,0.00000169995837495663
127s,42.7,11,41,16819.00,1138292,0.00,1.0855598449707,0.00000103527054307051
132s,41.9,96,42,9392.00,1840444.00,24.00,1.76,0.00
139s,39.3,98,42,14078.00,1594128,0.00,1.52027893066406,0.00000144985096994787
146s,33.1,93,39,1452.00,339320.00,0.00,0.32,0.00
153s,32.2,0,39,2314.00,964500.00,0.00,0.92,0.00
158s,21.6,98,37,5082.00,277852.00,56.00,0.26,0.00
165s,10.4,98,35,0.00,0.00,40.00,0.00,0.00
170s,10.8,88,35,8780.00,1966368.00,1184.00,1.88,0.00
175s,32.8,0,38,8884.00,1991416.00,44.00,1.90,0.00
181s,38.0,36,38,53.00,728548.00,0.00,0.69,0.00
186s,22.9,97,35,8883.00,1149440.00,0.00,1.10,0.00
194s,40.2,28,38,9235.00,1356460.00,0.00,1.29,0.00
199s,42.9,98,38,10104.00,1065748,0.00,1.01637649536133,0.000000969292159425097
206s,36.6,79,39,11939.00,1997716,0.00,1.90517044067383,0.00000181691211764701
213s,40.9,91,40,6846.00,1284720.00,64.00,1.23,0.00
219s,17.2,1,33,58.00,554672.00,0.00,0.53,0.00
224s,22.5,76,36,16888.00,1626272,0.00,1.55093383789063,0.00000147908576764167
230s,41.1,0,39,9002.00,1416008.00,0.00,1.35,0.00
235s,40.8,98,39,8865.00,1478236.00,0.00,1.41,0.00
242s,43.4,98,38,12934.00,1547344,0.00,1.47566223144531,0.00000140730116982013
249s,33.0,98,40,11604.00,479472,0,0.457260131835938,0.00000043607724364847
256s,13.2,98,33,6651.00,1630552.00,0.00,1.56,0.00
263s,38.6,0,39,12719.00,1397764,0.00,1.33301162719727,0.00000127125895232894
268s,45.2,98,38,13351.00,1551800,0.00,1.47991180419922,0.00000141135387821123
275s,36.0,98,38,16496.00,1337000,0.00,1.27506256103516,0.00000121599441627041
281s,43.6,99,38,12274.00,1708520,0.00,1.62937164306641,0.00000155388988787309
286s,36.7,98,37,7560.00,811356.00,0.00,0.77,0.00
291s,22.0,98,35,62.00,1072876.00,32.00,01.02,0.00
298s,19.7,9,33,930.00,124308.00,56.00,0.12,0.00
303s,11.7,98,31,0.00,124868.00,592.00,0.12,0.00
308s,34.4,0,38,9383.00,1097088.00,108.00,01.05,0.00
313s,39.2,21,39,9269.00,1973856.00,660.00,1.88,0.00
318s,42.7,98,40,16307.00,1460732,720.00,1.39306259155273,0.00000132852801471017
324s,32.7,14,39,4476.00,173292.00,52.00,0.17,0.00
329s,14.8,92,33,4610.00,1126568.00,0.00,01.07,0.00
336s,41.5,14,37,8542.00,1855180.00,0.00,1.77,0.00
341s,40.5,93,38,6893.00,1797328.00,80.00,1.71,0.00
348s,39.5,0,38,5570.00,1373844.00,24.00,1.31,0.00
353s,31.9,98,39,10389.00,1922464,0.00,1.83340454101563,0.0000017484708223492
360s,44.5,98,39,3470.00,298092.00,0.00,0.28,0.00
366s,14.3,0,34,19470.00,681124,0,0.649570465087891,0.000000619478669250384
371s,37.6,98,38,7163.00,1651304.00,0.00,1.57,0.00
376s,36.8,98,38,7137.00,1243624.00,0.00,1.19,0.00
382s,36.4,0,38,12865.00,1538888,0.00,1.46759796142578,0.00000139961048262194
387s,33.7,98,38,4494.00,1885620.00,64.00,1.80,0.00
401s,16.6,86,33,1453.00,2006076.00,32.00,1.91,0.00
405s,37.8,0,39,12084.00,1939264.00,80.00,1.85,0.00
410s,41.0,36,38,9872.00,1959476.00,0.00,1.87,0.00
417s,45.4,98,38,13303.00,1213808.00,0.00,1.16,0.00
424s,32.3,98,36,973.00,428760.00,0.00,0.41,0.00
432s,16.1,98,31,1552.00,60144.00,0.00,0.06,0.00
439s,11.6,98,31,10.00,0.00,0.00,0.00,0.00
444s,10.6,5,31,0.00,424016.00,0.00,0.40,0.00
449s,35.6,0,39,23841.00,1737668.00,0.00,1.66,0.00
454s,27.0,59,37,5161.00,1885184.00,0.00,1.80,0.00
460s,42.5,98,38,10316.00,851244.00,400.00,0.81,0.00
466s,39.5,42,38,1087.00,747876.00,0.00,0.71,0.00
472s,11.9,98,32,9197.00,840936.00,0.00,0.80,0.00
478s,28.2,47,37,3865.00,1195632.00,0.00,1.14,0.00
478s,28.2,47,37,3865.00,1195632.00,0.00,1.14,0.00
483s,39.4,98,39,12787.00,1901076.00,0.00,1.81,0.00
489s,43.0,98,40,11740.59,1831292.00,84.00,1.75,0.00
496s,38.2,7,40,5168.00,1939440.00,24.00,1.85,0.00
501s,41.0,95,39,3569.00,226860.00,56.00,0.22,0.00
507s,13.8,0,33,1517.00,1114720.00,40.00,01.06,0.00
512s,35.6,98,39,12630.00,1322428.00,84.00,1.26,0.00
517s,35.4,0,38,16785.00,798132.00,76.00,0.76,0.00
522s,42.0,98,38,11347.00,1265044.00,0.00,1.21,0.00
529s,34.9,0,38,5059.00,1336004.00,0.00,1.27,0.00
534s,43.9,98,37,10881.00,1388244.00,0.00,1.32,0.00
540s,34.9,98,38,60.00,584900.00,0.00,0.56,0.00
546s,33.4,0,36,18317.00,1288356.00,0.00,1.23,0.00
551s,42.4,98,37,11448.00,1419256.00,84.00,1.35,0.00
564s,31.6,97,37,7405.00,749448.00,0.00,0.71,0.00
570s,20.2,98,34,567.00,385376.00,0.00,0.37,0.00
576s,13.4,98,31,0.00,3712.00,0.00,0.00,0.00
582s,10.5,0,34,9099.00,1547140.00,0.00,1.48,0.00
586s,32.5,26,38,11207.00,1502840,0.00,1.43321990966797,0.00000136682501761243
592s,38.6,28,39,7862.00,1199636.00,0.00,1.14,0.00
597s,36.4,93,38,16709.00,1084760,0.00,1.03450775146484,0.000000986583472695198
603s,44.5,95,40,8177.00,1397768.00,92.00,1.33,0.00
610s,40.9,12,39,1001.00,259000.00,60.00,0.25,0.00
615s,11.6,85,32,66.00,1594292.00,40.00,1.52,0.00
619s,41.2,2,38,5791.00,1231712.00,80.00,1.17,0.00
624s,34.8,97,38,14638.00,1353203,0.96,1.29051494598389,0.00000123073095892323
631s,36.7,99,39,9058.00,1583132.00,0.00,1.51,0.00
636s,40.8,5,38,6457.00,1395224.00,0.00,1.33,0.00
647s,42.8,98,38,59.00,483488.00,0.00,0.46,0.00
653s,22.9,98,36,5067.00,1221456.00,0.00,1.16,0.00
659s,41.7,98,38,13369.00,710060.00,56,0.68,0.00
666s,37.5,98,39,7090.00,1984864.00,0.00,1.89,0.00
673s,36.1,0,40,4545.00,1702664.00,0.00,1.62,0.00
678s,43.2,98,40,8131.00,993372.00,0.00,0.95,0.00
685s,10.8,98,32,6615.00,1704464.00,0.00,1.63,0.00
692s,38.1,0,38,8922.00,1993988.00,0.00,1.90,0.00
697s,31.7,98,37,12479.00,583504.00,0,0.56,0.00