epoch,mean dice,l1_dice,l1 dice
5,0.2681981921195984,0.13567863404750824,0.0031590682920068502
10,0.26176029443740845,0.14447343349456787,0.027186578139662743
15,0.3494524359703064,0.20123331248760226,0.05301419273018837
20,0.6568042635917664,0.3827971816062927,0.10879011452198027
25,0.486158162355423,0.28229591250419617,0.07843364775180818
30,0.6800620555877686,0.39647215604782093,0.11288226395845412
35,0.666792631149292,0.3722872138023377,0.0777818039059639
40,0.5781531929969788,0.347779393196106,0.11740556359291075
45,0.5450901985168457,0.34433794021606445,0.1435857117176056
50,0.6939249038696289,0.4108432829380035,0.12776164710521698
55,0.6692655682563782,0.4094406962394713,0.14961585402488708
60,0.7015583515167236,0.4064592123031616,0.111360102891922
65,0.620061993598938,0.3903676569461823,0.1606733202934265
70,0.6462018489837646,0.4036558270454407,0.1611097753047943
75,0.6817273497581482,0.3866384029388428,0.09154944121837616
80,0.7340541481971741,0.4536418318748474,0.17322954535484314
85,0.7615965604782104,0.4283628165721893,0.0951290875673294
90,0.6894086599349976,0.4247140884399414,0.16001948714256287
95,0.7548274397850037,0.4098191857337952,0.06481093913316728
100,0.6829304695129395,0.3876660764217377,0.0924016684293747
105,0.6912194490432739,0.4466177225112915,0.2020159661769867
110,0.7810362577438354,0.451288104057312,0.12153995037078855
115,0.7508441805839539,0.4477361440658569,0.14462809264659882
120,0.6878477334976196,0.381517618894577,0.07518751919269563
125,0.6980662345886229,0.4268679320812225,0.15566961467266086
130,0.7241001129150391,0.4962336421012878,0.26836714148521423
135,0.7250366806983948,0.4528287649154663,0.18062086403369906
140,0.775639533996582,0.4676281213760376,0.15961667895317078
145,0.7009309530258179,0.3880776464939117,0.07522433996200563
150,0.6841732263565063,0.3811681568622589,0.07816307246685028
155,0.7384531497955322,0.5050796866416931,0.27170622348785395
160,0.7498829960823059,0.4831856489181519,0.2164882868528366
165,0.7978993654251099,0.4768708646297455,0.1558423489332199
170,0.7908481359481812,0.4167332947254181,0.042618438601493835
175,0.6088727116584778,0.3352038860321045,0.0615350566804409
180,0.7369023561477661,0.5299584269523621,0.323014497756958
185,0.7989461421966553,0.4825072884559631,0.166068434715271
190,0.8003573417663574,0.4643398523330689,0.12832237780094147
195,0.8361777663230896,0.4303916692733765,0.024605594575405117
200,0.6565406322479248,0.35769525170326233,0.05884984880685806
205,0.7686313986778259,0.5020160675048828,0.2354007214307785
210,0.7779749631881714,0.47867989540100103,0.17938481271266934
215,0.7965840697288513,0.4964839816093445,0.19638392329216006
220,0.8236243724822998,0.4518210887908936,0.08001778274774551
225,0.7519909143447876,0.4036629796028137,0.05533504486083984
230,0.6573642492294312,0.4378356337547302,0.2183070182800293
235,0.7602458000183105,0.47709059715271,0.19393539428710935
240,0.8023306727409363,0.5042686462402344,0.2062066495418549
245,0.7918245792388916,0.5109235644340515,0.23002251982688904
250,0.7552212476730347,0.465752124786377,0.17628298699855804
255,0.6858353614807129,0.4456484913825989,0.20546159148216248
260,0.7349560856819153,0.4977055788040161,0.2604550719261169
265,0.7868670225143433,0.5204812288284302,0.2540954351425171
270,0.7878413200378418,0.5516360998153687,0.3154309093952179
275,0.7723745107650757,0.4678059816360474,0.16323746740818024
280,0.7858232259750366,0.5031496286392212,0.22047604620456696
285,0.6823387742042542,0.4402626156806946,0.1981864869594574
290,0.7739688158035278,0.4906695783138275,0.207370325922966
295,0.7885693311691284,0.4907420873641968,0.19291481375694275
300,0.7075538635253906,0.4296092092990875,0.15166454017162326
305,0.7865017652511597,0.500358521938324,0.2142152339220047
310,0.7216866612434387,0.4329115748405457,0.14413650333881378
315,0.7871684432029724,0.4881506264209747,0.18913282454013824
320,0.7329422831535339,0.4802792966365814,0.2276163250207901
325,0.6857633590698242,0.4330335259437561,0.1803036630153656
330,0.7146927714347839,0.4686004221439362,0.2225080877542496
335,0.7576414346694946,0.428426593542099,0.09921176731586456
340,0.6971002817153931,0.40360164642333984,0.11010301113128662
345,0.7795398235321045,0.5192131996154785,0.2588865756988525
350,0.7569698095321655,0.4532561004161834,0.14954239130020142
355,0.7553880214691162,0.4660207331180573,0.17665345966815948
360,0.8316471576690674,0.4696418642997742,0.10763658583164216
365,0.7364677190780641,0.4477090835571289,0.15895044803619385
370,0.782853901386261,0.5115807056427002,0.2403075397014618
375,0.7002341747283936,0.4233529269695282,0.14647166430950165
380,0.7366445660591125,0.4784508645534515,0.22025716304779053
385,0.8141919374465942,0.5088244676589966,0.20345701277256006
390,0.815217137336731,0.4739516079425812,0.1326860934495926
395,0.6743635535240173,0.4046948552131653,0.13502617180347445
400,0.6977391242980957,0.4411841034889221,0.1846290677785873
405,0.7541346549987793,0.4865064024925232,0.2188781499862671
410,0.7162218689918518,0.4257729649543762,0.13532407581806186
415,0.7755492925643921,0.4626792669296265,0.14980925619602206
420,0.7021058201789856,0.41270187497138977,0.12329794466495515
425,0.7058097124099731,0.4535517990589142,0.2012938857078552
430,0.7597144246101379,0.5219670534133911,0.2842196822166443
435,0.7651793360710144,0.5034069418907166,0.2416345775127411
440,0.8116517066955566,0.5035936832427979,0.19553561508655548
445,0.8040319681167603,0.5150438547134399,0.22605569660663605
450,0.6548417806625366,0.3906087875366211,0.12637582421302795
455,0.736007571220398,0.5362910032272339,0.3365744650363922
460,0.7833914756774902,0.5085590481758118,0.2337266653776169
465,0.7802249193191528,0.4667851328849793,0.15334537625312805
470,0.8057051301002502,0.5188888907432556,0.2320726364850998
475,0.7269285321235657,0.411873459815979,0.09681840240955353
480,0.724664568901062,0.5024244785308838,0.2801843881607056
485,0.7930466532707214,0.5118001699447632,0.2305536717176437
490,0.7694848775863647,0.481086790561676,0.19268867373466486
495,0.8199435472488403,0.5127554535865784,0.2055674046278
500,0.8077973127365112,0.4652557373046875,0.12271413207054138
