epoch,iteration,throughput(MBs),iteration_time,time_diff,iter_persec,Size
1,2,5.997839275563870,6.173301458358770,5.002702951431270,0.39985639007901800,30.0
1,3,7.4254295447474100,6.32568359375,5.387637376785280,0.5569077334679280,40.0
1,3,7.395949212696640,6.537866115570070,5.409023761749270,0.5546963132164470,40.0
1,3,7.34128070596508,6.884794473648070,5.881367444992070,0.5505965107085930,40.0
1,3,7.334864816950980,6.9738850593566900,5.856277227401730,0.5501156068403850,40.0
1,3,7.326669528530500,6.971672773361210,5.866515159606930,0.5495012945009970,40.0
1,3,7.29699251390486,6.674173831939700,5.876989841461180,0.5472748431918090,40.0
1,3,6.707055061866460,6.56844162940979,5.965083837509160,0.5030296726018690,40.0
2,8,17.2808387809473,15.355634450912500,5.209055662155150,1.5360761756526300,90.0
2,8,17.12448145674110,15.699765920639000,5.256692886352540,1.5221777867518700,90.0
2,8,17.112761506484800,15.215747594833400,5.260665655136110,1.5211361490445800,90.0
2,8,17.19823568896000,15.511708736419700,5.2342095375061000,1.528734359650610,90.0
2,8,17.05888241011260,15.787423610687300,5.276754379272460,1.5163465421381100,90.0
2,8,17.008766544226500,15.734652757644700,5.292333602905270,1.5118923350424500,90.0
2,8,16.915706770856000,15.778604745864900,5.321467876434330,1.503619727215330,90.0
2,8,16.801807872749600,15.713395357132000,5.357555866241460,1.4934959609052200,90.0
3,8,17.893880851015000,20.83291983604430,5.030603647232060,1.5905699010540200,90.0
4,8,17.92966557512910,25.867992401123000,5.020241737365720,1.5937491866065600,90.0
4,8,17.868385913825300,26.177669763565100,5.037428855896000,1.5883035263207200,90.0
4,8,17.864035326827700,26.29000186920170,5.03860068321228,1.587915754189230,90.0
4,8,17.886025575930400,26.078216314315800,5.0327019691467300,1.5898707480247000,90.0
4,8,17.836862795722100,26.40404176712040,5.046643257141110,1.585500413522330,90.0
4,8,17.651662080042400,26.5020170211792,5.0996198654174800,1.5690394173876400,90.0
7,8,17.98782886068660,42.16367030143740,5.004555702209470,1.5989195685765100,90.0
7,8,17.903109962069700,42.26280069351200,5.028002023696900,1.5913890616815900,90.0
8,8,17.938889021422000,47.58101224899290,5.017707347869870,1.594570110544950,90.0
8,8,17.939369837981400,47.43405079841610,5.0179221630096400,1.594612774131430,90.0
8,8,17.851059579799900,47.23304772377010,5.04261326789856,1.5867634027857700,90.0
8,8,17.7118157766842,47.373126745224,5.082200765609740,1.5743863578086400,90.0
8,8,17.71459272834560,47.59092426300050,5.08148980140686,1.5746333466013700,90.0
8,8,17.679333455102400,47.58009052276610,5.091665983200070,1.5714979999182300,90.0
9,8,17.975136625136300,52.71672439575200,5.007739305496220,1.5977913678187500,90.0
9,8,17.887623203057000,52.634058713913000,5.032469749450680,1.5900125336144900,90.0
10,8,17.996413850141500,57.75372362136840,5.002247095108030,1.5996837478247400,90.0
10,8,17.926542405053200,57.95565223693850,5.021608591079710,1.5934733872380200,90.0
10,8,17.857790084322800,58.193225383758500,5.0408711433410600,1.5873611461249000,90.0
10,8,17.66404693449970,58.39954376220700,5.096155166625980,1.5701405911446600,90.0
12,8,17.967690488052600,68.82957005500790,5.009915351867680,1.5971304000152300,90.0
13,8,17.94959584715660,73.8711154460907,5.01490044593811,1.5955216792770700,90.0
15,8,17.396652818006500,84.64582085609440,5.174190282821660,1.5463705646802200,90.0
15,8,17.274336866339500,84.5713438987732,5.210623025894170,1.5354980859375500,90.0
15,8,17.199632867808400,84.5042200088501,5.2335052490234400,1.5288575784572800,90.0
15,8,17.171707357015200,84.3255364894867,5.243093490600590,1.5263760008781300,90.0
15,8,17.096985091428,84.89113736152650,5.2646520137786900,1.5197340042287900,90.0
15,8,17.02585323692150,84.84200406074520,5.286691904067990,1.51341136092105,90.0
15,8,17.02776480166030,84.86030149459840,5.2860682010650600,1.5135807320775600,90.0
15,8,16.99786031424630,84.85382771492000,5.295629978179930,1.5109228218094900,90.0
16,8,17.99293204430670,90.2443687915802,5.002784013748170,1.599373566890790,90.0
16,8,17.86226018580400,89.91322588920590,5.0394580364227300,1.587759240804010,90.0
16,8,17.763504173928000,89.75787472724920,5.0686116218566900,1.5789806750763700,90.0
16,8,17.755534926565400,90.26626086235050,5.069717645645140,1.5782717756156700,90.0
16,8,17.733947491852000,90.06399369239810,5.076143503189090,1.5763532579364400,90.0
16,8,17.521590803915600,90.33103919029240,5.1375572681427,1.5574761839734700,90.0
16,8,17.30477950634760,90.2925238609314,5.201923608779910,1.538205090790940,90.0
20,8,17.977953100307800,111.47351026535000,5.007004499435430,1.5980419499423200,90.0
20,8,17.944168332678100,111.1052737236020,5.016270160675050,1.5950389290207800,90.0
20,8,17.85510065174480,111.23278641700700,5.041536092758180,1.587122084840640,90.0
20,8,17.78296267294750,111.36552739143400,5.062102317810060,1.5807101760405300,90.0
20,8,17.782816070814800,111.45681095123300,5.061858177185060,1.580696400059060,90.0
20,8,17.721481929797400,111.01315307617200,5.079816579818730,1.5752457223057000,90.0
21,8,15.803820750789100,117.47979235649100,5.695631265640260,1.4047854782369700,90.0
21,8,15.748720931581200,117.41333818435700,5.715662240982060,1.3998883491396900,90.0
21,8,15.782518229209900,117.56632351875300,5.703257083892820,1.4028918583064900,90.0
21,8,15.698026885320300,117.32092785835300,5.734222888946530,1.3953818503887500,90.0
21,8,15.744949799873900,117.51919412612900,5.716731071472170,1.399552377575470,90.0
21,8,15.60251576361520,117.26315689086900,5.769232988357540,1.386891723193470,90.0
21,8,15.402431266440100,117.15537142753600,5.844478368759160,1.3691069008032100,90.0
21,8,15.221904695427300,117.712331533432,5.913640737533570,1.353065233566680,90.0
22,8,17.490769429652100,122.57804679870600,5.146317958831790,1.554737005447530,90.0
22,8,17.554453062819800,123.09379744529700,5.127852916717530,1.5603977870297000,90.0
22,8,17.454376777198300,122.99272274971000,5.156982660293580,1.5515017362271100,90.0
22,8,17.40188248112960,123.09082317352300,5.172959089279180,1.5468357097136500,90.0
22,8,17.425088536262000,123.09977173805200,5.166131496429440,1.5488986177340300,90.0
22,8,17.410457555227000,122.80175042152400,5.170186758041380,1.5475984398578400,90.0
22,8,17.358246661816900,122.91618609428400,5.185662746429440,1.5429579549600400,90.0
22,8,17.218438093514300,123.21103954315200,5.228002071380620,1.5305303437851500,90.0
23,8,17.794374894261300,128.4790358543400,5.059372186660770,1.5817248970164400,90.0
23,8,17.668213814356700,128.2157599926000,5.094624280929570,1.5705093647564700,90.0
23,8,17.67296926921210,128.58912539482100,5.093848705291750,1.5709339113232000,90.0
31,8,17.85007365352500,169.93104553222700,5.043217420578000,1.5866748642709200,90.0
31,8,17.797588951792000,169.83892798423800,5.057854890823360,1.582011710809490,90.0
31,8,17.76645372250970,169.66367053985600,5.066890716552730,1.579242486375480,90.0
35,8,16.38813188620340,191.23593497276300,5.492414236068730,1.4567240359236700,90.0
35,8,16.385527609084400,191.32063841819800,5.493403911590580,1.4564922281335600,90.0
35,8,16.34618454936350,191.3521065711980,5.506760835647580,1.452995377616750,90.0
35,8,16.275056018247300,191.0681712627410,5.530604600906370,1.4466736419749100,90.0
35,8,16.26314240540320,191.44123005867000,5.53454065322876,1.4456135301894100,90.0
35,8,16.2359554282939,190.89852142334000,5.544372081756590,1.4431977140359100,90.0
35,8,16.0364039834147,191.4579017162320,5.613139867782590,1.4254598274363600,90.0
35,8,15.882797773405400,191.2998583316800,5.667414665222170,1.4118060285790100,90.0
37,8,17.994550543284400,201.58589911460900,5.002411842346190,1.5995175862916300,90.0
40,8,17.91612240173120,217.56165170669600,5.024155139923100,1.5925458007646200,90.0
40,8,17.90861376710410,217.07710194587700,5.026649236679080,1.5918790449380000,90.0
40,8,17.87877161763880,217.26581811904900,5.036020278930660,1.5892260255358400,90.0
40,8,17.83741570239410,217.64523100853000,5.046485900878910,1.5855502351738500,90.0
40,8,17.78754625564800,217.51247572898900,5.060605764389040,1.5811177558500800,90.0
40,8,17.559226696463000,217.67258310318000,5.126327991485600,1.5608217480690100,90.0
41,8,17.90894682188340,222.89237713813800,5.026651382446290,1.5919088764643100,90.0
42,8,17.94027015957440,227.98355054855300,5.017526626586910,1.5946930302964500,90.0
42,8,17.736704720024400,228.36405158042900,5.075133562088010,1.5765976789157400,90.0
43,8,17.91988248340960,233.64435935020400,5.0228660106658900,1.5928803333792900,90.0
43,8,17.67887558399030,233.50106525421100,5.091766595840450,1.5714568585991800,90.0
46,8,17.858805589581700,249.05676126480100,5.040710210800170,1.5874511881839200,90.0
48,8,17.985926196628300,259.6410462856290,5.0048277378082300,1.598750442576210,90.0
48,8,17.957775313449800,259.8432049751280,5.012603759765630,1.596249504181430,90.0
48,8,17.932191813326400,259.76676321029700,5.0198235511779800,1.5939752558408000,90.0
48,8,17.63968363581610,259.93679118156400,5.103216886520390,1.567973417412340,90.0
48,8,17.63626927013820,259.45043444633500,5.104049444198610,1.5676704303385400,90.0
49,8,16.81474576522600,265.5851230621340,5.353388786315920,1.494646198494250,90.0
49,8,16.758214419277100,265.39452838897700,5.371446132659910,1.4896207127508500,90.0
49,8,16.743570353493700,265.6748869419100,5.376031160354610,1.4883188170816600,90.0
49,8,16.73734095889950,265.30849719047500,5.3780295848846400,1.4877650260714700,90.0
49,8,16.715944263500300,265.5334565639500,5.3847596645355200,1.4858630940519700,90.0
49,8,16.563125457174000,265.67156434059100,5.434697389602660,1.4722861518075400,90.0
49,8,16.54558588654150,265.6621587276460,5.440165042877200,1.4707207438207900,90.0
49,8,16.54883182378090,265.18153262138400,5.4391186237335200,1.4710104331498700,90.0